split,task,count,accuracy,balanced_accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,actual_positive_rate,predicted_positive_rate
train,sign,1710,0.7690058479532164,0.7663804570130726,0.7479838709677419,0.8365276211950394,0.6962332928311057,0.7897817988291645,742,573,250,145,0.5187134502923977,0.5801169590643275
train,downside_negative,1710,0.7625730994152047,0.76430032287627,0.7273718647764449,0.81044957472661,0.7181510710259301,0.7666666666666666,667,637,250,156,0.4812865497076023,0.5362573099415204
train,tail_downside,1710,0.8701754385964913,0.8782894736842106,0.6224489795918368,0.8918128654970761,0.8647660818713451,0.7331730769230769,305,1183,185,37,0.2,0.28654970760233917
val,sign,366,0.6202185792349727,0.5635245901639344,0.7075098814229249,0.7336065573770492,0.39344262295081966,0.7203219315895372,179,48,74,65,0.6666666666666666,0.6912568306010929
val,downside_negative,366,0.4972677595628415,0.5102459016393444,0.34183673469387754,0.5491803278688525,0.4713114754098361,0.42138364779874216,67,115,129,55,0.3333333333333333,0.5355191256830601
val,tail_downside,366,0.9016393442622951,0.6205357142857143,0.16666666666666666,0.3125,0.9285714285714286,0.21739130434782608,5,325,25,11,0.04371584699453552,0.08196721311475409
test,sign,347,0.6340057636887608,0.6228575346222405,0.6896551724137931,0.6862745098039216,0.5594405594405595,0.687960687960688,140,80,63,64,0.5878962536023055,0.5850144092219021
test,downside_negative,347,0.6195965417867435,0.6262854792266557,0.5307262569832403,0.6643356643356644,0.5882352941176471,0.5900621118012422,95,120,84,48,0.41210374639769454,0.515850144092219
test,tail_downside,347,0.8242074927953891,0.7936440677966101,0.4482758620689655,0.75,0.8372881355932204,0.5611510791366906,39,247,48,13,0.14985590778097982,0.2507204610951009
