split,count,corr,mae,rmse,sign_accuracy,negative_precision,negative_recall,negative_specificity,negative_f1,bottom_quintile_future_mean_excess_return,top_quintile_future_mean_excess_return,top_bottom_future_mean_spread
train,1591,0.3525427691315807,0.001039576794494412,0.0012970642854257665,0.6021370207416719,0.7480916030534351,0.35507246376811596,0.8702490170380078,0.48157248157248167,-0.0007729113906569473,0.0005388179985052734,0.0013117293891622207
val,366,0.02182531806961847,0.0004713102289553629,0.0005803347875851215,0.5573770491803278,0.3185840707964602,0.2975206611570248,0.6857142857142857,0.3076923076923077,0.0001164855271642263,0.00022612460531249025,0.00010963907814826395
test,307,0.28280036231104166,0.0010211661675373748,0.001229792889879917,0.5504885993485342,0.6859504132231405,0.453551912568306,0.6935483870967742,0.5460526315789473,-0.0007622317717140409,0.0001669771549941991,0.00092920892670824
