split,market_dates,aux_panel_points,lambda_mean,lambda_std,market_sharpe_corr,market_sharpe_mae,market_sharpe_rmse,market_return_corr,market_return_mae,market_return_rmse,sign_accuracy,sign_balanced_accuracy,sign_precision,sign_positive_recall,sign_negative_recall,sign_f1,downside_accuracy,downside_balanced_accuracy,downside_precision,downside_recall,downside_specificity,downside_f1,tail_accuracy,tail_balanced_accuracy,tail_precision,tail_recall,tail_specificity,tail_f1,aux_corr,aux_mae,aux_rmse,bottom_quintile_future_market_return,bottom_quintile_future_market_sharpe,top_quintile_future_market_return,top_quintile_future_market_sharpe,top_bottom_return_spread,top_bottom_sharpe_spread,aux_target_horizon
train,1710,67231,0.016527309865767018,0.07292360338133606,0.6275181074487863,0.1526450237360792,0.1902649649598636,0.7032538732016771,0.0014850997083915372,0.0018634625319490724,0.7690058479532164,0.7663804570130726,0.7479838709677419,0.8365276211950394,0.6962332928311057,0.7897817988291645,0.7625730994152047,0.76430032287627,0.7273718647764449,0.81044957472661,0.7181510710259301,0.7666666666666666,0.8701754385964913,0.8782894736842106,0.6224489795918368,0.8918128654970761,0.8647660818713451,0.7331730769230769,0.2292015712394421,0.0018898807733725115,0.0024593852359202323,-0.0029616259062893,-0.2412649496888731,0.001763698659136967,0.16986086923827837,0.004725324565426267,0.4111258189271515,60
val,366,16163,0.03797377194176158,0.051931962702830695,-0.005466644728019127,0.1804872181013001,0.22237014069355782,-0.03137726428565718,0.0010914832941079835,0.0013702943248917303,0.6202185792349727,0.5635245901639344,0.7075098814229249,0.7336065573770492,0.39344262295081966,0.7203219315895372,0.4972677595628415,0.5102459016393444,0.34183673469387754,0.5491803278688525,0.4713114754098361,0.42138364779874216,0.9016393442622951,0.6205357142857143,0.16666666666666666,0.3125,0.9285714285714286,0.21739130434782608,-0.00981644751545958,0.001559711435478262,0.00198015099124963,0.00048309605137409847,0.1034777649990857,0.0005131088082389151,0.10090517909014346,3.001275686481664e-05,-0.002572585908942243,60
test,347,14135,0.023408205829485607,0.07093407822766334,0.39991159014388067,0.1744682341369516,0.21579113303391378,0.5097003162564709,0.0014135988125724157,0.0017510313109448492,0.6340057636887608,0.6228575346222405,0.6896551724137931,0.6862745098039216,0.5594405594405595,0.687960687960688,0.6195965417867435,0.6262854792266557,0.5307262569832403,0.6643356643356644,0.5882352941176471,0.5900621118012422,0.8242074927953891,0.7936440677966101,0.4482758620689655,0.75,0.8372881355932204,0.5611510791366906,0.0968519377626895,0.0020987820032185175,0.002846028791135329,-0.001625041398401136,-0.13681586093498746,0.0012255297292930274,0.16031397907063366,0.002850571127694163,0.29712984000562115,60
