epoch,train_total,train_selection,train_market_sharpe,train_market_return,train_market_sign,train_downside_negative,train_downside_tail,train_aux_lambda,train_cross_section,train_shrink,train_smooth,val_total,val_selection,val_market_sharpe,val_market_return,val_market_sign,val_downside_negative,val_downside_tail,val_aux_lambda,val_cross_section,val_shrink,val_smooth
1,2.125493288040161,2.1254730224609375,0.025982365012168884,4.824512870982289e-06,0.6980135440826416,0.8643012046813965,1.1022557020187378,0.0002017354272538796,0.0,5.3259711421560496e-05,2.351195871597156e-05,1.7574670314788818,1.7574570178985596,0.02643374167382717,1.3422175015875837e-06,0.692959725856781,0.8104420900344849,0.7767110466957092,0.00010027516691479832,0.0,1.4557599570252933e-05,3.982688667747425e-06
2,2.1172001361846924,2.117180347442627,0.025945719331502914,4.833362709177891e-06,0.6973515748977661,0.863284170627594,1.0950932502746582,0.00019757109112106264,0.0,4.258773697074503e-05,2.28458102355944e-05,1.7501238584518433,1.7501143217086792,0.02636214904487133,1.3435819710139185e-06,0.6934143900871277,0.8118799924850464,0.768134355545044,9.528941154712811e-05,0.0,1.0391064279247075e-05,3.7646902910637436e-06
3,2.110874891281128,2.1108551025390625,0.025914469733834267,4.854983671975788e-06,0.6970874667167664,0.8619142770767212,1.0899587869644165,0.00019741585128940642,0.0,3.2603325962554663e-05,2.29506658797618e-05,1.7430179119110107,1.7430088520050049,0.02628982812166214,1.3449899824991007e-06,0.6938011646270752,0.8133791089057922,0.7597833871841431,9.075741400010884e-05,0.0,7.557774097222136e-06,3.642235697043361e-06
4,2.102829694747925,2.1028099060058594,0.025869572535157204,4.866656581725692e-06,0.6966165900230408,0.8593729734420776,1.0841000080108643,0.00019729649648070335,0.0,2.7082169253844768e-05,2.306747956026811e-05,1.7360965013504028,1.7360877990722656,0.02621474489569664,1.346454723716306e-06,0.6942649483680725,0.8149228096008301,0.7515478134155273,8.663148037157953e-05,0.0,6.070411927794339e-06,3.6485123473539716e-06
5,2.0969841480255127,2.0969643592834473,0.02583027258515358,4.878253548667999e-06,0.6959399580955505,0.8575913310050964,1.0799683332443237,0.00019761038129217923,0.0,2.5108844056376256e-05,2.671636684681289e-05,1.7291550636291504,1.7291467189788818,0.02613961696624756,1.3479897233992233e-06,0.6947069764137268,0.8165176510810852,0.7432646751403809,8.315356535604224e-05,0.0,6.034589659975609e-06,3.7453864933922887e-06
6,2.0883805751800537,2.0883607864379883,0.025792622938752174,4.893131972494302e-06,0.6953908801078796,0.8565402626991272,1.072465181350708,0.00019724103913176805,0.0,2.2459407773567364e-05,2.3098908059182577e-05,1.7222354412078857,1.7222274541854858,0.026062611490488052,1.3495769053406548e-06,0.6951307058334351,0.8181427717208862,0.7349917888641357,8.025234274100512e-05,0.0,7.548038865934359e-06,3.948810444853734e-06
7,2.0816454887390137,2.0816256999969482,0.025735247880220413,4.903407898382284e-06,0.6947721838951111,0.8551375865936279,1.0671486854553223,0.00019739290291909128,0.0,2.501527706044726e-05,2.527615833969321e-05,1.7151738405227661,1.7151659727096558,0.02598564140498638,1.35120581035153e-06,0.6955265402793884,0.8198091387748718,0.7265595197677612,7.809507951606065e-05,0.0,1.069114568963414e-05,4.25852113039582e-06
8,2.074267864227295,2.0742475986480713,0.02572319470345974,4.921558229398215e-06,0.694118857383728,0.8535875678062439,1.0612719058990479,0.00020320915791671723,0.0,2.938066973001696e-05,2.535437852202449e-05,1.7079265117645264,1.7079188823699951,0.02590818703174591,1.3528915587812662e-06,0.695857048034668,0.821504533290863,0.7179530262947083,7.665964221814647e-05,0.0,1.5547640941804275e-05,4.674233878176892e-06
9,2.0637056827545166,2.0636849403381348,0.025686882436275482,4.9327918532071635e-06,0.6942955255508423,0.8515108227729797,1.0522147417068481,0.00020722630142699927,0.0,3.8063742977101356e-05,3.008025851158891e-05,1.7004988193511963,1.700491189956665,0.025831112638115883,1.3546449508794467e-06,0.6961473822593689,0.8232390284538269,0.7091564536094666,7.602922414662316e-05,0.0,2.2168896975927055e-05,5.189650437387172e-06
10,2.0570058822631836,2.0569844245910645,0.025614220649003983,4.938745405524969e-06,0.6933601498603821,0.8503504395484924,1.0469249486923218,0.0002140192227670923,0.0,4.841710688197054e-05,3.170912168570794e-05,1.6928821802139282,1.692874550819397,0.02575337328016758,1.3564653045250452e-06,0.6963754892349243,0.824992835521698,0.700188159942627,7.620973337907344e-05,0.0,3.069823287660256e-05,5.80370897296234e-06
